Accidentes de tránsito terrestre
,Año de ocurrencia : 2019
,Causa del accidente : Total
,Clase de accidente : Total
,Cond aliento alcoholico : Total
,Cond uso cinturon : Total
,Dia de ocurrencia : Total
,Edad accidentado : Total
,Ent y mun de ocurrencia : Ciudad de México
,Mes de ocurrencia : Total
,Superficie rodamiento : Total
,Zona ocurrio accidente : Total
,

Consulta de: Accidentes de tránsito   Por: Tipo de accidente   Según: Sexo conductor
 , Total, Se fugó, Hombre, Mujer
 Total,"10,673","1,640","7,735","1,298"
 Colisión con vehículo automotor,"6,642","1,172","4,677", 793
 Colisión con peatón (atropellamiento), 908, 191, 667, 50
 Colisión con objeto fijo,"1,928", 83,"1,508", 337
 Volcadura, 34, 5, 25, 4
 Caída de pasajero, 47, 8, 39, 
 Salida del camino, 5, , 5, 
 Incendio, 3, , 3, 
 Colisión con motocicleta, 924, 142, 691, 91
 Colisión con ciclista, 142, 32, 98, 12
 Otro, 40, 7, 22, 11


FUENTE: INEGI. Estadísticas de accidentes de tránsito terrestre en zonas urbanas y suburbanas.
