Accidentes de tránsito terrestre
,Año de ocurrencia : 2021
,Causa del accidente : Total
,Clase de accidente : Total
,Cond aliento alcoholico : Total
,Cond uso cinturon : Total
,Dia de ocurrencia : Total
,Edad accidentado : Total
,Ent y mun de ocurrencia : Ciudad de México
,Mes de ocurrencia : Total
,Superficie rodamiento : Total
,Zona ocurrio accidente : Total
,

Consulta de: Accidentes de tránsito   Por: Tipo de accidente   Según: Sexo conductor
 , Total, Se fugó, Hombre, Mujer
 Total,"6,743","1,068","4,953", 722
 Colisión con vehículo automotor,"4,388", 687,"3,179", 522
 Colisión con peatón (atropellamiento), 445, 131, 294, 20
 Colisión con animal, 3, 1, 2, 
 Colisión con objeto fijo, 848, 80, 682, 86
 Volcadura, 43, 5, 34, 4
 Caída de pasajero, 15, 3, 12, 
 Salida del camino, 2, 1, 1, 
 Colisión con motocicleta, 858, 132, 655, 71
 Colisión con ciclista, 128, 21, 91, 16
 Otro, 13, 7, 3, 3


FUENTE: INEGI. Estadísticas de accidentes de tránsito terrestre en zonas urbanas y suburbanas.
