Accidentes de tránsito terrestre
,Año de ocurrencia : 2014
,Causa del accidente : Total
,Clase de accidente : Total
,Cond aliento alcoholico : Total
,Cond uso cinturon : Total
,Dia de ocurrencia : Total
,Edad accidentado : Total
,Ent y mun de ocurrencia : Ciudad de México
,Mes de ocurrencia : Total
,Superficie rodamiento : Total
,Zona ocurrio accidente : Total
,

Consulta de: Accidentes de tránsito   Por: Tipo de accidente   Según: Sexo conductor
 , Total, Se fugó, Hombre, Mujer
 Total,"14,319","2,056","10,691","1,572"
 Colisión con vehículo automotor,"9,718","1,534","7,028","1,156"
 Colisión con peatón (atropellamiento),"1,017", 233, 729, 55
 Colisión con animal, 1, 1, , 
 Colisión con objeto fijo,"2,368", 101,"2,007", 260
 Volcadura, 69, 8, 59, 2
 Caída de pasajero, 57, 5, 52, 
 Salida del camino, 4, 1, 3, 
 Incendio, 1, , 1, 
 Colisión con motocicleta, 826, 139, 622, 65
 Colisión con ciclista, 153, 29, 110, 14
 Otro, 105, 5, 80, 20


FUENTE: INEGI. Estadísticas de accidentes de tránsito terrestre en zonas urbanas y suburbanas.
